region	mean	sigma	tightness syst	isolation syst	c1 sigma	c2 sigma	c3 sigma	R sigma	c1 syst	c3 syst	total syst	total error
SR - ISR1	179.0	18.0	29.0	4.0	3.0	7.0	0.0	16.0	10.0	0.0	36.0	40.0
SR - ISR2	49.0	10.0	12.0	2.0	1.0	4.0	0.0	7.0	4.0	0.0	16.0	19.0
SR - ISR3	11.0	4.0	2.0	0.0	1.0	2.0	0.0	3.0	1.0	0.0	4.0	6.0
SR - ESR1	123.0	14.0	20.0	7.0	2.0	5.0	0.0	14.0	6.0	0.0	26.0	30.0
SR - ESR2	38.0	9.0	11.0	2.0	1.0	4.0	0.0	7.0	3.0	0.0	14.0	17.0
1muCR - ISR1	115.0	13.0	23.0	3.0	1.0	2.0	0.0	10.0	3.0	0.0	25.0	28.0
1muCR - ISR2	39.0	8.0	12.0	1.0	0.0	2.0	0.0	6.0	1.0	0.0	13.0	16.0
1muCR - ISR3	16.0	5.0	5.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	7.0	9.0
1muCR - ESR1	72.0	10.0	14.0	1.0	1.0	2.0	0.0	8.0	2.0	0.0	16.0	19.0
1muCR - ESR2	21.0	6.0	12.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	13.0	14.0
2muCR - ISR1	10.0	4.0	5.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	5.0	6.0
2muCR - ISR2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
2muCR - ISR3	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2muCR - ESR1	8.0	3.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	5.0
2muCR - ESR2	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
2eCR - ISR1	11.0	4.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	5.0
2eCR - ISR2	3.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0
2eCR - ISR3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2eCR - ESR1	7.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	4.0
2eCR - ESR2	4.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	4.0
gammajetCR	132.0	9.0	30.0	19.0	4.0	16.0	0.0	44.0	2.0	0.0	59.0	59.0
