region	mean	sigma	tightness syst	isolation syst	c1 sigma	c2 sigma	c3 sigma	R sigma	c1 syst	c3 syst	total syst	total error
SR - ISR1	205	21	36	3	3	8	0	22	13	0	45	50
SR - ISR2	73	15	19	2	2	6	0	13	6	0	25	29
SR - ISR3	10	4	2	0	1	2	0	4	1	0	5	6
SR - ESR1	128	15	20	5	2	6	0	17	7	0	29	32
SR - ESR2	63	16	20	3	2	6	0	14	5	0	26	30
1muCR - ISR1	133	15	28	5	1	3	0	14	4	0	32	36
1muCR - ISR2	58	12	19	3	1	2	0	10	2	0	22	25
1muCR - ISR3	15	5	6	1	0	1	0	6	0	0	8	10
1muCR - ESR1	76	10	14	2	1	2	0	10	2	0	18	21
1muCR - ESR2	35	9	21	1	1	2	0	7	2	0	22	24
2muCR - ISR1	12	4	5	0	0	1	0	1	1	0	6	7
2muCR - ISR2	1	2	1	0	0	1	0	0	0	0	1	2
2muCR - ISR3	-0	0	0	0	0	0	0	0	0	0	0	1
2muCR - ESR1	8	3	3	1	0	0	0	1	1	0	4	5
2muCR - ESR2	1	3	1	0	0	1	0	0	0	0	1	3
2eCR - ISR1	12	5	3	1	0	0	0	1	1	0	4	6
2eCR - ISR2	5	4	4	0	0	0	0	1	0	0	4	6
2eCR - ISR3	0	1	0	0	0	0	0	0	0	0	0	1
2eCR - ESR1	7	3	3	0	0	0	0	1	1	0	3	4
2eCR - ESR2	6	5	5	1	0	0	0	1	0	0	5	7
gammajetCR	276	18	26	20	8	32	1	85	5	0	97	99
