region	mean	sigma	tightness syst	isolation syst	c1 sigma	c2 sigma	c3 sigma	R sigma	c1 syst	c3 syst	total syst	total error
SR - ISR1	236.0	24.0	10.0	8.0	4.0	10.0	0.0	23.0	16.0	1.0	33.0	40.0
SR - ISR2	64.0	13.0	15.0	1.0	2.0	6.0	0.0	10.0	5.0	0.0	20.0	24.0
SR - ISR3	18.0	6.0	2.0	0.0	1.0	3.0	0.0	6.0	2.0	0.0	7.0	10.0
SR - ESR1	160.0	19.0	12.0	13.0	3.0	8.0	0.0	20.0	10.0	0.0	29.0	35.0
SR - ESR2	44.0	11.0	16.0	1.0	1.0	5.0	0.0	8.0	4.0	0.0	19.0	22.0
1muCR - ISR1	152.0	17.0	6.0	7.0	1.0	4.0	0.0	15.0	5.0	0.0	18.0	25.0
1muCR - ISR2	57.0	11.0	12.0	2.0	1.0	2.0	0.0	9.0	2.0	0.0	16.0	19.0
1muCR - ISR3	15.0	5.0	3.0	1.0	0.0	1.0	0.0	5.0	1.0	0.0	6.0	8.0
1muCR - ESR1	89.0	12.0	8.0	6.0	1.0	3.0	0.0	11.0	3.0	0.0	15.0	19.0
1muCR - ESR2	40.0	9.0	8.0	1.0	1.0	2.0	0.0	8.0	2.0	0.0	12.0	15.0
2muCR - ISR1	12.0	5.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	3.0	5.0
2muCR - ISR2	4.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0
2muCR - ISR3	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
2muCR - ESR1	8.0	4.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	4.0
2muCR - ESR2	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0
2eCR - ISR1	9.0	5.0	5.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	5.0	7.0
2eCR - ISR2	6.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	4.0
2eCR - ISR3	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0
2eCR - ESR1	3.0	3.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	6.0
2eCR - ESR2	5.0	4.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	5.0
gammajetCR	330.0	18.0	92.0	31.0	11.0	38.0	1.0	122.0	0.0	1.0	161.0	162.0
